,user_id,sum,last
158,XIZBJP67953,134,8
159,GNANEL19617,42,4
160,UMPXLB45514,84,5
161,HHYSTU04315,90,6
162,SASCHO07272,64,4
163,KQKQFS84122,78,5
164,EDBKEI33666,60,4
165,QHGJMM22375,56,4
166,DLKFNQ76206,18,1
167,KYFGJC84586,61,3
168,POWHVU95367,94,6
169,EAMCNX29475,86,4
170,RJDFRZ85148,44,3
171,OLJWFJ94893,74,5
172,QIBNYH13522,54,3
173,WNNKNY30795,71,6
174,AWKDOM86061,77,4
175,BONNFD15029,52,4
176,PYWDMI09092,132,9
177,THLWYO66051,74,4
178,LETBKC21058,98,6
179,ZZMDPG90189,48,2
180,FOKZZU33341,87,5
181,YYGUEX43202,3,1
182,ISTPEM52289,107,6
183,KOMSOB01371,76,5
184,WGBHPS12562,55,3
185,DPPJKA70204,45,3
186,WQCKVH13954,84,4
187,EVJLIS65954,69,4
188,HVAKVX42697,57,3
189,EAKLAY44127,78,6
190,KLZBFK96460,113,6
191,BZIVBP68721,80,4
192,BNFKUK78245,53,4
193,BXSFBH69398,89,5
194,OVTGPG88144,67,5
195,JRNWIM31226,54,3
196,OOHOIV32816,103,6
197,HJCMHT55401,71,6
198,BWPKBJ80149,37,2
199,RAVVML99823,75,4
200,MZHDZP51145,58,3
201,ULIBDC51597,86,6
202,UWOLRE89110,78,4
203,TYUOET92093,66,3
204,GKJVWH60302,55,4
205,VOWSUQ49285,78,5
206,IUASOV36727,54,3
207,BSFUXW72528,65,5
208,RDSEZY26170,53,2
209,EHCDZE17789,135,8
210,XZEOTM11926,20,1
211,OAEPWG08516,64,3
212,NDKFEF17816,69,4
213,LPTSKG37835,56,3
214,UJMIFG70274,49,4
215,KPDBEV80388,80,5
216,FNAPWX60401,35,2
217,AFRIIV02818,96,7
218,MOWBON41521,42,2
219,PFSWTC91278,61,5
220,YAWFHU41499,40,3
221,LBBDSI71121,122,6
222,VOBIIG46704,58,4
223,OGFCAD15446,99,7
224,JNAPIP90359,40,3
225,PHCCYW50635,73,5
226,DIDSCW53861,162,7
227,RKIVQH34496,88,5
228,ILXQUQ42724,74,4
229,LTNKPU52727,64,5
230,SHWFKY19377,108,6
231,PHLMAP85368,60,3
232,EGULQV37504,89,6
233,VHHNZD74110,82,5
234,WIZJUH79353,85,6
235,EHQWUV31618,54,3
236,LRRDZP17040,56,3
237,GVZLPL68138,35,3
238,VNIWPF41788,75,5
239,XTOLKG00735,58,4
240,TCTALN43986,87,4
241,PIVPBV37510,73,5
242,RLQKME76868,67,5
243,LNYHBX35126,42,4
244,MNZJPY70690,59,5
245,AHRCUJ95184,73,4
246,HOPFRX58196,57,1
247,KIZHRZ09213,45,4
248,OWSKLT70790,38,2
249,AWLZUO30184,68,5
250,EPBTDY42829,56,3
251,MWCLCF26360,41,4
252,YCKUIK25817,66,4
253,QEVANH71955,59,2
254,JJFHIE13947,61,4
255,GRSQJO23552,36,2
256,UWPVLI78903,27,2
257,UOVJUL64289,96,6
258,CJAQWC32449,91,4
259,WJPLVF67256,147,8
260,NADILL11755,23,2
261,FMYDSK33451,62,4
262,MRTJXF55722,81,4
263,TRHGWX05092,78,4
264,PGNXVU57035,82,5
265,JEIKZL04925,89,6
266,YVSWHQ24451,146,7
267,NRVXNQ01040,77,3
268,SPCKLS22173,82,4
269,LXLOVF12702,78,5
270,UFNMUA14689,90,5
271,LJJNLC55893,48,4
272,HGLCHS83705,41,5
273,KGZXBB12821,135,7
274,DWDGAJ41674,66,5
275,KGWVBU99427,64,3
276,XIMTOO95248,58,4
277,LWHUAK03450,97,5
278,PJJZIE73262,66,4
279,QFYFIL64553,111,7
280,LGCKRH00954,71,3
281,WNMHVI54110,72,4
282,PJXRYS49669,50,3
283,IJMXBH20328,96,7
284,FDOMBC41134,59,5
285,YMVOWL71782,59,4
286,QDAAWP60352,74,5
287,BDCARV81537,85,5
288,YVIZFE50016,59,4
289,TCXJQP05777,91,6
290,UJKBFZ38326,91,5
291,YPCCHQ74040,33,4
292,IIOVCB41145,69,4
293,UPSKPK29920,112,7
294,DXBYYN81576,50,4
295,VPTUEQ10496,74,3
296,GLBHKB95727,72,4
297,VEYLRV44821,90,5
298,SVVKUJ87574,96,5
299,EFAOPK25536,56,3
300,GFKTBT92876,66,3
301,JVDMGC55318,36,2
302,NFUHYV87668,82,4
303,ZHZMQP18732,69,3
304,KDWZGD71710,97,6
305,FBEAPB64152,69,5
306,MYWMTE26859,58,2
307,LZEOHR01026,46,4
308,AWIVRO40221,55,4
309,FDVNNU02133,98,6
310,QDCMMZ07658,57,2
311,YVZBBA35752,63,3
312,COOZCL94620,54,3
313,RBRRJV17381,55,3
314,JKZQPO23325,58,3
315,AYYCIJ74635,79,5
316,EQDJTV90745,68,4
317,NOOSGR98662,68,4
318,ZSSYCU22278,86,5
319,FKUWFJ06597,65,4
320,DXDTED22935,78,3
321,WQQACD86610,65,4
322,RSHEZW51844,44,2
323,RZWLUW81073,87,4
324,JQUPIS61635,87,5
325,AJQBFE50102,94,6
326,UBPORX59232,57,4
327,PJFYNZ49735,66,4
328,OGJWWH51406,60,3
329,SVAWGY41507,36,2
330,URILQU99537,72,4
331,UKMNJA86476,94,6
332,GKMFEU00608,89,5
333,SARSZT54742,86,5
334,WZFYKV60475,107,6
335,JFCQHR32436,95,5
336,TYXRMX35513,109,6
337,EAIAHR64666,65,7
338,BOSQHD95195,63,3
339,TYPEUK99202,43,2
340,ILQLNY27289,76,5
341,FMBXWV09666,54,3
342,NJKCAB16881,70,4
343,BGGMOR57217,64,7
344,DCAOED42164,61,4
345,ILWTKM87311,89,5
346,ESZQJQ68465,48,3
347,TQYXWA47154,74,5
348,ZAEIPP64008,105,6
349,TZBUGQ22703,74,6
350,BGZNKE61954,93,5
351,UNCSLW57403,53,4
352,FQAAOB36284,41,4
353,OOLLSE04382,54,3
354,SMFFLM30071,58,4
355,MURLWH83058,35,3
356,SHGNEQ40741,87,5
357,BOTJUX90474,130,8
358,CUXCEN15955,70,6
359,ROUEDI90942,58,5
360,IAZAYX16504,61,4
361,KCJFND24235,45,3
362,HEUFJS15276,67,4
363,NAGYMB29062,63,5
364,JGIXDR65819,36,2
365,GBHUUI44182,98,5
366,RSXWBG96724,81,5
367,BJBMWJ30023,72,5
368,RYIJUL92377,55,4
369,TKXCNC48902,73,4
370,GSBEYA68907,69,5
371,JIWUUB30293,63,5
372,JYUUDR82881,80,5
373,HESRBB73241,40,3
374,AXBWGN13136,83,5
375,AZUFBJ75572,31,2
376,ZANIKM69076,72,3
377,PMMKSD12670,47,3
378,SBIYJJ24094,82,4
379,FCQQCB56244,36,3
380,EICJUJ67373,42,2
381,HFZGIM19762,78,4
382,BXZAAH19781,54,3
383,LJNXLN75304,59,3
384,BNVNVO44127,42,2
385,DVBFHO79596,74,5
386,EWGOIK38442,50,5
387,KCWPYJ41422,72,4
388,ICYDUU81155,78,5
389,GZPYSX32279,86,6
390,TJOVEV24061,31,2
391,ALUHFV04466,38,3
392,GLTVKB36879,79,5
393,SQIAFJ88199,81,4
394,YHTLZN17567,22,0
395,CWCYUI50264,67,5
396,DTWTVB14886,108,6
397,IBLEMV42654,72,4
398,ITHGPC66144,74,5
399,RQMDNX19462,74,5
400,TJWOCF76988,58,4
401,HRKNBA47086,55,3
402,TPGNCA86338,40,3
403,ZIGAGC74866,18,1
404,UYMIXX99675,79,6
405,ZABRXQ76889,77,5
406,KRUTDR37138,57,4
407,PDSLNU83168,61,3
408,ZFBXWE32147,50,2
409,MWZDCV53396,46,2
410,SSYOBE28174,83,5
411,DEYIWU26410,70,4
412,RUMBBC31130,77,5
413,MKQYBV97926,64,4
414,KFARDD77634,53,3
415,IMVCFA96835,81,4
416,XYGDAH37102,68,4
417,GPIMYG76062,87,6
418,TLQPAO50218,83,4
419,UYFOLM23350,92,5
420,PGVVMC96131,46,3
421,NFSJFE87785,116,6
422,UBJHOR52759,45,3
423,KKFBSD09579,42,2
424,MSRWMR31731,42,3
425,GZYRLQ26243,142,8
426,KCXKUM74512,70,3
427,OHQYBZ02682,62,3
428,BGIKFP79042,56,5
429,XJTSFP96505,62,4
430,XVYJPD97212,65,4
431,SNLDUT98690,92,6
432,WMBZVP12536,85,4
433,OELCDL64464,65,5
434,LVSTSB23064,47,3
435,TRPYHR00385,38,2
436,UIHLEX05693,54,3
437,YWDKFB71087,72,5
438,OLPUGG57168,59,2
439,YNTONL93965,104,6
440,RIYOKU96497,72,4
441,VPRPFC83667,115,5
442,NRTVEE15417,70,2
443,ZPDLFT90258,98,5
444,NLBOBE59609,32,1
445,HTKDQA53730,68,3
446,LNKSQB68202,85,3
447,HJWWAP50217,180,10
448,FYTPON71663,63,4
449,WSBCFZ19118,81,4
450,XSXYEL41193,131,7
451,YGQYJF59192,80,4
452,JEGRXI59750,44,4
453,OUMLYK90724,40,4
454,ZFUHEB23049,84,7
455,GMEDYA43765,41,0
456,URAUKF95656,42,2
457,FAIYUL28596,42,4
458,NPIWZT13969,78,6
459,RJQDNR25736,67,6
460,RHNDZO91513,55,2
461,SBBOEV12448,54,3
462,VBOHNJ99733,70,5
463,ZHGHZB92130,76,4
464,FTPDRC19280,38,3
465,TDHZDY22703,118,6
466,LLKZOU05776,84,5
467,WRMCBL80154,82,6
468,JCBBTD45179,60,3
469,EKKCXQ49696,116,6
470,OTAPQD57202,77,5
471,MMSJOR24937,79,4
472,RLAFUL70068,80,5
473,FSDKHN59967,72,6
474,EWFVWC59298,29,1
475,NVOELA98009,63,4
476,SVPDZY84077,54,3
477,XFRUZP81603,42,2
478,CXRTUT92315,118,6
479,IIQLOC76438,67,4
480,ACRGPY95945,88,5
481,SHSOAO08349,57,4
482,EVOARH49202,80,5
483,FSAXML43541,121,7
484,EENKMC98895,37,2
485,GJPAOH23698,53,4
486,PXRAFX67835,98,6
487,FAAMNP93017,104,6
488,CYYOCP95808,90,5
489,NLHVYD01375,51,2
490,HZAZZW89694,59,4
491,NVKLXJ87543,80,5
492,KWIQZV37891,87,5
493,CQPUTN80004,116,7
494,BHAVYH63079,65,3
495,EXBCWL27742,32,3
496,SUFECL15525,78,4
497,VXDAUI71951,68,5
498,JMBUVV62789,18,1
499,IXJXFC81575,45,2
500,HGYVRR79763,117,6
501,HYRQUW12613,142,8
502,XGKZNQ84854,47,4
503,LSJVJA07481,81,5
504,YCDCFH11308,66,5
505,POHJCU75638,52,3
506,HXCZUH08486,86,5
507,VYFCTU97136,48,2
508,URPXDJ32082,60,4
509,FDZCRT72018,84,5
510,ZVPZUL97756,90,5
511,XVGDDR96962,100,6
512,XMZKNG38361,72,4
513,BXUBZP42289,89,7
514,RSQNBS44416,107,6
515,UHBJGH48896,83,5
516,VNPIWB53821,138,8
517,NNFVLS75736,91,5
518,DWYMEO14484,68,5
519,TJJPDS74706,61,4
520,ZLYAVB98284,80,3
521,ZJRMAS08081,45,3
522,FNGNAO74083,97,5
523,DLAEZL88943,72,4
524,FWJQZW04824,63,4
525,EGANQP60228,142,8
526,LLHODI88817,112,5
527,LVGADP66475,53,3
528,PLGUBM19594,66,3
529,HSCBYG28778,41,3
530,AHOANL05960,43,2
531,PXOXXA59797,35,2
532,XBWXAR76928,39,4
533,DRALJB08871,84,4
534,NVLOXU68151,126,7
535,UTMEIE61271,107,6
536,SNUOKJ32955,96,5
537,VWAALV92865,75,6
538,IAIIQQ65156,57,2
539,CXZSXO87567,52,3
540,LGHOBL24233,77,4
541,OKWOLQ30488,82,5
542,TVSQDP21209,112,7
543,OBTCAT81495,58,4
544,VQPRPV32750,53,3
545,MLBMKY32248,36,2
546,LYXXCR13735,63,3
547,VHGNEX30207,67,3
548,WYJBAV37296,55,4
549,NNEXWQ65275,49,3
550,EXSJPO91955,102,6
551,XITXQT65848,37,2
552,XURCZM84996,43,3
553,VRDIUO68017,65,4
554,RYJIIJ67706,115,6
555,CZKGSS71716,61,3
556,GCTHFO03852,76,5
557,HFFIWZ16794,85,6
558,ZSOAQR46154,24,1
559,PMGWEG46037,62,6
560,KLVSGX99375,90,5
561,MQMXDZ98310,75,5
562,YFOSKE00919,24,1
563,HXULXR00683,50,5
564,HWGXZA92863,59,5
565,NRUWAG30903,65,5
566,QEIHGN77954,85,6
567,INBNUX86491,165,10
568,WEFNNJ03758,65,4
569,YYLDXY36180,66,4
570,EUJTZF64584,108,6
571,QSTHBS87898,39,3
572,CLRZWE89028,27,1
573,OAQIMX19048,83,6
574,HQIMYL64060,57,5
575,JJMWUK76470,12,0
576,YYWCZK02952,61,4
577,AFFTVF06388,49,2
578,VISAUZ52150,21,0
579,PSJVIV12993,113,5
580,HQOTIM74645,108,6
581,OGZSEL71677,88,3
582,HCYUJL49027,70,5
583,XTERCL44524,43,2
584,PZEWHT19691,57,4
585,PMDMGR96537,46,3
586,JDWCEJ49543,47,1
587,TBHUMG54941,64,5
588,QXTCCK48486,36,2
589,EOPJCV40360,71,4
590,QBQVCM80527,23,1
591,SFOBSL02649,85,6
592,LTVDJV96592,88,4
593,HXGDXV29840,30,2
594,SOIABP71730,87,7
595,XTORZP53120,68,5
596,TFKBVQ36777,84,4
597,EFAKLS39313,110,6
598,BWLDKQ55731,91,5
599,SOAGQC41476,85,5
600,YQZAME78357,44,3
601,DCQDHN59117,47,3
602,MFZUFH01346,86,6
603,RZVMXR36623,71,4
604,BWGBMI69999,68,3
605,FAFRUX56286,58,4
606,FDNZAE06193,101,6
607,AGALDN19785,96,5
608,GUIXDZ64078,37,3
609,WNIFZE38094,88,5
610,SIXFJM02900,91,7
611,OUCLZH52748,109,7
612,KXORXK30090,69,4
613,HMKABY66388,71,5
614,LWYZFN67814,32,4
615,FPKGIL68319,90,6
616,KOPWDA27825,76,4
617,TSIKEJ80747,94,5
618,ABITTL41436,109,6
619,UOVSDV55409,97,5
620,VXFXMF05723,57,4
621,PWSAMO98220,67,3
622,LYZJTX01374,84,6
623,HDIGIJ20481,53,3
624,ULPMGX39470,47,3
625,CAWRXQ26006,60,3
626,ZOHQQO14423,58,5
627,AWIVSU46811,56,5
628,IILITB75863,51,3
629,GMAASR29930,97,8
630,LLQNRP98860,53,5
631,BTKABR53012,83,7
632,STSWIT52567,62,5
633,PZZAIO85599,104,5
634,DMNGEH67850,55,3
635,LVTDCP82292,77,3
636,VDEYJS62925,77,4
637,MSXXKU43648,155,10
638,LYSOED64188,44,3
639,YZHNOU37370,33,3
640,CXMWHZ54980,129,7
641,OAQSKM06227,70,4
642,JEYETV59260,57,3
643,RKQGYH09070,79,4
644,HIUUOC99795,99,6
645,JVPUVV86702,58,3
646,LQKFBW50787,95,5
647,SOWCKC00058,46,2
648,DAMEMX36135,53,2
649,PUQOFU75658,44,3
650,NFSTDM39475,141,8
651,KSKOLU74708,45,3
652,NYXMUF37783,66,3
653,IGAHPG52902,72,5
654,FVMUFO13525,69,4
655,FQIGXS65957,72,4
656,ERMDRW16891,12,0
657,DLTKUP75381,38,3
658,JXCNEC70833,123,7
659,TTKRHH72966,87,5
660,DTTUAV41287,107,5
661,IMGNVN32409,24,2
662,MEIWZM09970,67,3
663,DAAJTX89069,81,6
664,RUPOLR67302,74,5
665,GRLUYE67778,82,4
666,NJBYZF63693,80,6
667,EFGOUX50972,55,4
668,EELDEF06304,92,6
669,WMGKAQ77384,80,5
670,GIUQUH52006,63,5
671,HEKOIQ30390,66,4
672,UYNCRL12554,83,5
673,ZTEZIB48899,45,3
674,JGKCWS58893,65,3
675,YEJCSC98411,91,6
676,FQHPNB96693,29,2
677,FKASYL15085,56,4
678,UYQRPB46590,36,2
679,SSTXHE21667,93,5
680,WHYKXR47191,79,5
681,FILTMA38042,78,5
682,UYWPXI25866,104,7
683,KQDDXP16352,80,5
684,UVTPTP72362,61,3
685,CLEHJV71045,48,2
686,QDIUWZ55948,53,4
687,ENNMVV34419,64,4
688,OJMTKA45873,55,4
689,DQIUUO54849,81,5
690,PRFCSW10066,41,2
691,FTVCIB70435,38,2
692,TIGHQF34133,70,4
693,IXRHXU47288,112,7
694,AGJTON97958,56,3
695,JTLYLV41836,64,3
696,NVHDOW50480,89,6
697,CGGXQE32763,105,5
698,UUNTPZ70464,55,3
699,MNNKDK53577,34,3
700,NLWLPD58939,48,3
701,RDSHPE79832,132,8
702,WKXQZX16116,78,4
703,XKOJXU55155,70,5
704,SLKSET10494,104,7
705,EAROXI59949,90,6
706,KLHUAB90775,35,2
707,VFQISN10884,51,2
708,ZXUXDD54140,138,8
709,OHHQRY67479,64,3
710,NUDJUY77802,55,3
711,FYDVHD31127,55,4
712,GCCNZA07595,41,1
713,EGLTMQ68830,79,7
714,ZDCFXL09476,70,4
715,MHVJYF16728,99,6
716,QFKBDV38174,54,3
717,XGKLQR99434,72,4
718,HFLXRU02593,71,5
719,MFQNAJ38998,64,3
720,JNBKON57298,99,4
721,BEOSRA22296,91,5
722,ZAWRGT35496,47,3
723,RMNIGE75600,152,9
724,RBZUSO31303,67,4
725,DQLJRB87361,32,1
726,FJFASQ87473,103,7
727,OUNVJW49560,84,5
728,KABHYK13996,105,6
729,QXJBPP23177,44,2
730,NYEGZS64560,63,4
731,EZFQRF09659,97,5
732,FKZRDO30814,124,8
733,JVFXVK83032,72,4
734,HRPCAX58516,89,5
735,GMNCFQ94116,78,4
736,GIGIMP14581,53,3
737,NCLAKY73171,73,5
738,BGDHQN36748,100,5
739,UZLWMQ73428,49,3
740,UQTNPW43967,90,7
741,SZDHCZ06333,60,4
742,AMIVEH80512,125,7
743,HIKCMM13362,35,3
744,HXBPZL39496,96,5
745,TRHEHG78639,90,5
746,KOWPCA00607,122,8
747,UMVUFP00963,151,9
748,PEUUNL80296,77,5
749,RSTPEF88991,81,5
750,MFVSSN28149,18,1
751,WLSXJI78092,72,4
752,TPMAYV96094,78,4
753,WSPCAQ23324,54,3
754,XVVGPR95660,73,5
755,OAXZXZ40783,86,5
756,SCWEUQ07313,49,4
757,XJOBDK97034,78,5
758,BLORQB97676,59,3
759,BWAVLS56431,16,3
760,TJXLZI54576,69,4
761,NRMNDG51247,60,5
762,YEWSHP44803,36,2
763,ZIQJUW31036,64,4
764,YGKHAS17879,48,3
765,PFXCVE74049,66,5
766,ZTWSNE47588,30,2
767,NXQEET81356,52,3
768,VOOZAT23252,60,3
769,TSPHEK89231,71,4
770,SBCXOT09370,32,2
771,LYVAGZ97534,56,4
772,BNJFUX81374,95,6
773,JDHTEI13976,76,4
774,YCMQKC40497,81,3
775,LURQHW74917,90,6
776,UJIMXV44606,95,6
777,BWTNHD56229,67,5
778,QGMUTV67650,73,4
779,MMCXBP97342,54,3
780,XAIREZ54609,37,2
781,NUXDJT10081,44,3
782,KBLENN76072,31,2
783,CVWTRO54694,63,3
784,UOHAGG97982,68,3
785,YMWXFB83762,54,3
786,SFTQOR21192,100,6
787,WPCCEO38376,97,6
788,HJFGFW45221,51,4
789,KOUTYU29599,39,2
790,BLMEWI52048,70,4
791,WBETKP48077,99,6
792,HHZMQI17096,69,3
793,YRPUJY42390,45,3
794,KBJFPY97317,46,3
795,EWHLMB88189,66,2
796,UAMNYL11915,84,4
797,YPEYVB20348,41,3
798,NBSUOD57384,140,9
799,NOQJUN03816,143,8
800,YGTXIR69240,100,6
801,INNNOE54507,69,4
802,YBGBBK15013,46,5
803,QSQPEH56589,114,6
804,OPZGST59513,58,4
805,SVKTBB79434,47,1
806,OYJOXU13051,72,4
807,DUIDIU39781,74,4
808,ZKKUOV11085,54,3
809,TGMWMY78720,56,3
810,OGWOEH84781,42,3
811,GVDACM21198,54,3
812,QRGRFH40264,42,2
813,EAOXLJ26325,46,4
814,SZJTUR42872,19,2
815,NAVQBH28445,37,3
816,EFUOGF38019,89,5
817,PKJWHC22586,34,2
818,NHYUDQ34438,64,3
819,OMLOQS89058,119,7
820,SHVAFJ77964,36,2
821,GLRQIZ81401,51,3
822,KEETJT60576,44,3
823,XWWGTB34067,79,5
824,XHTTCU26587,61,5
825,RERQNR84447,33,2
826,IZHKPP16997,87,6
827,GZLOZK00012,53,2
828,WWEKFY45622,90,4
829,GGPSXI00145,55,4
830,YQULCZ21913,79,5
831,TJIVTQ99990,117,8
832,RJQXZM03472,74,5
833,RJFXVC94371,73,5
834,DKPKKK50134,69,4
835,ITRDRG78008,72,4
836,ELYEDX97555,58,4
837,PHETKA28297,123,8
838,XHRNQO27156,74,4
839,NGDCIL23078,38,3
840,EBCUJF45371,90,5
841,MTXJZJ12734,80,6
842,EKLHGB58102,75,5
843,EAJREZ66119,51,3
844,GEKQZW11638,63,4
845,ZYUZYU11452,106,5
846,BVESDJ51840,64,4
847,FLRLFJ73527,45,3
848,RTTCOT00205,96,6
849,LWSKZH15401,58,3
850,TOVAHI36345,45,2
851,NWOIBO20203,94,6
852,ZABNEI31444,27,1
853,SZWEKW28225,81,6
854,GPTPXT35751,47,4
855,LSQLAC84854,91,6
856,UXHVGW68649,60,3
857,WZLYTH76905,41,2
858,CLHGOL82673,25,2
859,SVOMZB10152,48,2
860,HIITYP45465,75,5
861,KLGQAT06238,54,3
862,ICSDHH35269,75,3
863,PUXKXC42326,72,4
864,AIGWJL24256,47,4
865,WZJWRD88179,66,3
866,NEXVHW39519,51,4
867,NMEAZQ41915,143,8
868,XKSJMN72660,99,5
869,FRHFRF51959,84,6
870,ZJTZGX24443,64,5
871,TPQOUI25431,49,4
872,RHYFWO68181,51,5
873,EAZIKB57008,58,4
874,FNUSPL76683,72,4
875,HRZRWT86838,36,3
876,DVHTWC91646,85,6
877,NFUPGA87165,51,5
878,TYPPPM22397,124,7
879,CIZZYM03710,64,5
880,HEWWVE47570,142,9
881,OWGXXY70568,60,4
882,RZZKES70551,80,5
883,HHKYFK13175,110,6
884,WYBNAQ37243,40,4
885,OKRBLF45106,54,2
886,DINOVW67163,61,5
887,WJJHUE21213,78,5
888,BUAPJH31231,27,2
889,QNSZOQ73751,53,3
890,TGRWOB59931,77,4
891,BQYWGX46817,43,4
892,PXHOPP97977,82,4
893,KMYHDM47283,68,5
894,YJAVTA10778,55,3
895,WUXSEU56625,31,1
896,YDEQWK84198,90,5
897,VODPUN20603,102,5
898,QGIEJM22196,19,1
899,JMUWNV95355,94,6
900,KGDIRB45367,108,6
901,FMYGKB42427,78,4
902,OSMVJC78781,38,3
903,OVJFSY35160,43,5
904,YFSMXK33725,70,4
905,NAZAZD65033,46,3
906,CUTSKB31828,72,5
907,XXYOKS36594,59,4
908,IVDGWT47150,52,3
909,DLYHAY35250,74,4
910,WANXGO62202,40,3
911,UEOPKH43074,73,4
912,KYYYAR34330,36,2
913,GHVEOI09588,88,6
914,RLDFRF42856,79,5
915,QCQAYZ62597,43,3
916,FUGGSB64438,62,4
917,UFKSUQ33364,93,6
918,KPMGLD01997,100,6
919,XGJYKI66108,66,4
920,HNACFO09453,128,7
921,EYPGGL96404,60,3
922,QSRHSX72380,56,4
923,UNKITD00838,98,6
924,ERKHSL58941,77,5
925,MTBZCL35855,81,4
926,QXXLOK65734,59,4
927,SMWHBJ07653,106,6
928,BPFPAO85684,94,4
929,LCHBLK81521,107,7
930,PNVPGN44577,114,6
